year,month,month_name,latitude,longitude,field_id,regional_methane_ppb,emission_proxy_kg_hr,sar_vh_db,sar_available,num_s5p_orbits,num_s1_passes,confidence_score,methane_band,methane_radius_km,methodology,source
2022,1,January,38.5382,-121.7617,UC_DAVIS_PLOT_1,1912.5,32.75,-18.283,True,431,10,1.0,CH4_column_volume_mixing_ratio_dry_air_bias_corrected,25.0,monthly_composite_gold_standard,Sentinel-5P + Sentinel-1 via Google Earth Engine
2022,2,February,38.5382,-121.7617,UC_DAVIS_PLOT_1,1902.6,31.19,-18.412,True,393,10,1.0,CH4_column_volume_mixing_ratio_dry_air_bias_corrected,25.0,monthly_composite_gold_standard,Sentinel-5P + Sentinel-1 via Google Earth Engine
2022,3,March,38.5382,-121.7617,UC_DAVIS_PLOT_1,1886.75,28.79,-17.913,True,437,10,1.0,CH4_column_volume_mixing_ratio_dry_air_bias_corrected,25.0,monthly_composite_gold_standard,Sentinel-5P + Sentinel-1 via Google Earth Engine
2022,4,April,38.5382,-121.7617,UC_DAVIS_PLOT_1,1889.83,29.25,-18.109,True,424,10,1.0,CH4_column_volume_mixing_ratio_dry_air_bias_corrected,25.0,monthly_composite_gold_standard,Sentinel-5P + Sentinel-1 via Google Earth Engine
2022,5,May,38.5382,-121.7617,UC_DAVIS_PLOT_1,1881.46,27.92,-18.309,True,440,9,1.0,CH4_column_volume_mixing_ratio_dry_air_bias_corrected,25.0,monthly_composite_gold_standard,Sentinel-5P + Sentinel-1 via Google Earth Engine
2022,6,June,38.5382,-121.7617,UC_DAVIS_PLOT_1,1885.75,28.63,-17.927,True,417,10,1.0,CH4_column_volume_mixing_ratio_dry_air_bias_corrected,25.0,monthly_composite_gold_standard,Sentinel-5P + Sentinel-1 via Google Earth Engine
2022,7,July,38.5382,-121.7617,UC_DAVIS_PLOT_1,1879.74,27.74,-17.59,True,364,9,1.0,CH4_column_volume_mixing_ratio_dry_air_bias_corrected,25.0,monthly_composite_gold_standard,Sentinel-5P + Sentinel-1 via Google Earth Engine
2022,8,August,38.5382,-121.7617,UC_DAVIS_PLOT_1,1885.44,28.52,-18.44,True,34,10,0.8,CH4_column_volume_mixing_ratio_dry_air_bias_corrected,25.0,monthly_composite_gold_standard,Sentinel-5P + Sentinel-1 via Google Earth Engine
2022,9,September,38.5382,-121.7617,UC_DAVIS_PLOT_1,1901.14,31.04,-17.804,True,426,10,1.0,CH4_column_volume_mixing_ratio_dry_air_bias_corrected,25.0,monthly_composite_gold_standard,Sentinel-5P + Sentinel-1 via Google Earth Engine
2022,10,October,38.5382,-121.7617,UC_DAVIS_PLOT_1,1909.56,32.3,-18.215,True,439,10,1.0,CH4_column_volume_mixing_ratio_dry_air_bias_corrected,25.0,monthly_composite_gold_standard,Sentinel-5P + Sentinel-1 via Google Earth Engine
2022,11,November,38.5382,-121.7617,UC_DAVIS_PLOT_1,1916.32,33.35,-18.189,True,423,9,1.0,CH4_column_volume_mixing_ratio_dry_air_bias_corrected,25.0,monthly_composite_gold_standard,Sentinel-5P + Sentinel-1 via Google Earth Engine
2022,12,December,38.5382,-121.7617,UC_DAVIS_PLOT_1,1909.01,32.28,-17.647,True,439,10,1.0,CH4_column_volume_mixing_ratio_dry_air_bias_corrected,25.0,monthly_composite_gold_standard,Sentinel-5P + Sentinel-1 via Google Earth Engine
