year,month,month_name,status,reason,num_orbits,methane_ppb,confidence
2024,1,January,SUCCESS,"434 orbits composited, 10 SAR passes, conf=1.0",434,1911.1,1.0
2024,2,February,SUCCESS,"411 orbits composited, 9 SAR passes, conf=1.0",411,1907.06,1.0
2024,3,March,SUCCESS,"428 orbits composited, 11 SAR passes, conf=1.0",428,1905.29,1.0
2024,4,April,SUCCESS,"425 orbits composited, 11 SAR passes, conf=1.0",425,1908.6,1.0
2024,5,May,SUCCESS,"440 orbits composited, 10 SAR passes, conf=1.0",440,1908.61,1.0
2024,6,June,SUCCESS,"426 orbits composited, 8 SAR passes, conf=1.0",426,1906.83,1.0
2024,7,July,SUCCESS,"438 orbits composited, 9 SAR passes, conf=1.0",438,1898.15,1.0
2024,8,August,SUCCESS,"436 orbits composited, 10 SAR passes, conf=1.0",436,1917.04,1.0
2024,9,September,SUCCESS,"424 orbits composited, 10 SAR passes, conf=1.0",424,1920.39,1.0
2024,10,October,SUCCESS,"440 orbits composited, 10 SAR passes, conf=1.0",440,1929.53,1.0
2024,11,November,SUCCESS,"426 orbits composited, 10 SAR passes, conf=1.0",426,1936.79,1.0
