subfield_id,row,col,sar_vh_db,emission_zone,emission_factor,emission_kg_hr,annual_ch4_tons,annual_co2e_tons,period
R0_C0,0,0,-9.73,HIGH_EMISSION,1.3,0.0043,0.0378,1.0573,baseline_2020_2022
R0_C1,0,1,-13.83,MEDIUM_EMISSION,1.0,0.0033,0.029,0.8133,baseline_2020_2022
R0_C2,0,2,-18.9,LOW_EMISSION,0.7,0.0023,0.0203,0.5693,baseline_2020_2022
R0_C3,0,3,-22.16,MINIMAL_EMISSION,0.4,0.0013,0.0116,0.3253,baseline_2020_2022
R0_C4,0,4,-22.77,MINIMAL_EMISSION,0.4,0.0013,0.0116,0.3253,baseline_2020_2022
R1_C0,1,0,-9.0,HIGH_EMISSION,1.3,0.0043,0.0378,1.0573,baseline_2020_2022
R1_C1,1,1,-13.33,MEDIUM_EMISSION,1.0,0.0033,0.029,0.8133,baseline_2020_2022
R1_C2,1,2,-18.55,LOW_EMISSION,0.7,0.0023,0.0203,0.5693,baseline_2020_2022
R1_C3,1,3,-21.25,MINIMAL_EMISSION,0.4,0.0013,0.0116,0.3253,baseline_2020_2022
R1_C4,1,4,-21.76,MINIMAL_EMISSION,0.4,0.0013,0.0116,0.3253,baseline_2020_2022
R2_C0,2,0,-9.92,HIGH_EMISSION,1.3,0.0043,0.0378,1.0573,baseline_2020_2022
R2_C1,2,1,-14.27,MEDIUM_EMISSION,1.0,0.0033,0.029,0.8133,baseline_2020_2022
R2_C2,2,2,-19.0,LOW_EMISSION,0.7,0.0023,0.0203,0.5693,baseline_2020_2022
R2_C3,2,3,-21.67,MINIMAL_EMISSION,0.4,0.0013,0.0116,0.3253,baseline_2020_2022
R2_C4,2,4,-21.44,MINIMAL_EMISSION,0.4,0.0013,0.0116,0.3253,baseline_2020_2022
R3_C0,3,0,-12.19,MEDIUM_EMISSION,1.0,0.0033,0.029,0.8133,baseline_2020_2022
R3_C1,3,1,-16.17,LOW_EMISSION,0.7,0.0023,0.0203,0.5693,baseline_2020_2022
R3_C2,3,2,-19.79,LOW_EMISSION,0.7,0.0023,0.0203,0.5693,baseline_2020_2022
R3_C3,3,3,-21.76,MINIMAL_EMISSION,0.4,0.0013,0.0116,0.3253,baseline_2020_2022
R3_C4,3,4,-21.68,MINIMAL_EMISSION,0.4,0.0013,0.0116,0.3253,baseline_2020_2022
R4_C0,4,0,-14.28,MEDIUM_EMISSION,1.0,0.0033,0.029,0.8133,baseline_2020_2022
R4_C1,4,1,-17.66,LOW_EMISSION,0.7,0.0023,0.0203,0.5693,baseline_2020_2022
R4_C2,4,2,-20.62,MINIMAL_EMISSION,0.4,0.0013,0.0116,0.3253,baseline_2020_2022
R4_C3,4,3,-22.87,MINIMAL_EMISSION,0.4,0.0013,0.0116,0.3253,baseline_2020_2022
R4_C4,4,4,-24.87,MINIMAL_EMISSION,0.4,0.0013,0.0116,0.3253,baseline_2020_2022
R0_C0,0,0,-9.73,HIGH_EMISSION,1.3,0.0081,0.0713,1.9957,monitoring_2023_2025
R0_C1,0,1,-13.83,MEDIUM_EMISSION,1.0,0.0063,0.0548,1.5351,monitoring_2023_2025
R0_C2,0,2,-18.9,LOW_EMISSION,0.7,0.0044,0.0384,1.0746,monitoring_2023_2025
R0_C3,0,3,-22.16,MINIMAL_EMISSION,0.4,0.0025,0.0219,0.614,monitoring_2023_2025
R0_C4,0,4,-22.77,MINIMAL_EMISSION,0.4,0.0025,0.0219,0.614,monitoring_2023_2025
R1_C0,1,0,-9.0,HIGH_EMISSION,1.3,0.0081,0.0713,1.9957,monitoring_2023_2025
R1_C1,1,1,-13.33,MEDIUM_EMISSION,1.0,0.0063,0.0548,1.5351,monitoring_2023_2025
R1_C2,1,2,-18.55,LOW_EMISSION,0.7,0.0044,0.0384,1.0746,monitoring_2023_2025
R1_C3,1,3,-21.25,MINIMAL_EMISSION,0.4,0.0025,0.0219,0.614,monitoring_2023_2025
R1_C4,1,4,-21.76,MINIMAL_EMISSION,0.4,0.0025,0.0219,0.614,monitoring_2023_2025
R2_C0,2,0,-9.92,HIGH_EMISSION,1.3,0.0081,0.0713,1.9957,monitoring_2023_2025
R2_C1,2,1,-14.27,MEDIUM_EMISSION,1.0,0.0063,0.0548,1.5351,monitoring_2023_2025
R2_C2,2,2,-19.0,LOW_EMISSION,0.7,0.0044,0.0384,1.0746,monitoring_2023_2025
R2_C3,2,3,-21.67,MINIMAL_EMISSION,0.4,0.0025,0.0219,0.614,monitoring_2023_2025
R2_C4,2,4,-21.44,MINIMAL_EMISSION,0.4,0.0025,0.0219,0.614,monitoring_2023_2025
R3_C0,3,0,-12.19,MEDIUM_EMISSION,1.0,0.0063,0.0548,1.5351,monitoring_2023_2025
R3_C1,3,1,-16.17,LOW_EMISSION,0.7,0.0044,0.0384,1.0746,monitoring_2023_2025
R3_C2,3,2,-19.79,LOW_EMISSION,0.7,0.0044,0.0384,1.0746,monitoring_2023_2025
R3_C3,3,3,-21.76,MINIMAL_EMISSION,0.4,0.0025,0.0219,0.614,monitoring_2023_2025
R3_C4,3,4,-21.68,MINIMAL_EMISSION,0.4,0.0025,0.0219,0.614,monitoring_2023_2025
R4_C0,4,0,-14.28,MEDIUM_EMISSION,1.0,0.0063,0.0548,1.5351,monitoring_2023_2025
R4_C1,4,1,-17.66,LOW_EMISSION,0.7,0.0044,0.0384,1.0746,monitoring_2023_2025
R4_C2,4,2,-20.62,MINIMAL_EMISSION,0.4,0.0025,0.0219,0.614,monitoring_2023_2025
R4_C3,4,3,-22.87,MINIMAL_EMISSION,0.4,0.0025,0.0219,0.614,monitoring_2023_2025
R4_C4,4,4,-24.87,MINIMAL_EMISSION,0.4,0.0025,0.0219,0.614,monitoring_2023_2025
