waypoint_id,timestamp,local_time_pkt,site_id,field_name,sector_row,sector_col,latitude,longitude,flight_alt_m_agl,uav_gsd_cm_px,uav_ndvi,uav_ndwi,thermal_canopy_temp_c,inundation_water_depth_cm,satellite_downscaled_ndvi,variance_delta
1,2026-08-14 05:30:00 UTC,2026-08-14 10:30:00 PKT,pk_hafizabad_pindi_bowra,Field_A_Basmati_Rice,0,0,32.088026,73.590725,60.0,2.1,0.8,0.42,29.24,5.3,0.784,0.016
2,2026-08-14 05:30:00 UTC,2026-08-14 10:30:00 PKT,pk_hafizabad_pindi_bowra,Field_A_Basmati_Rice,0,1,32.088026,73.590848,60.0,2.1,0.799,0.415,29.24,5.3,0.784,0.015
3,2026-08-14 05:30:00 UTC,2026-08-14 10:30:00 PKT,pk_hafizabad_pindi_bowra,Field_A_Basmati_Rice,0,2,32.088026,73.59097,60.0,2.1,0.797,0.41,29.25,5.3,0.784,0.013
4,2026-08-14 05:30:00 UTC,2026-08-14 10:30:00 PKT,pk_hafizabad_pindi_bowra,Field_A_Basmati_Rice,0,3,32.088026,73.591093,60.0,2.1,0.793,0.405,29.27,5.3,0.784,0.009
5,2026-08-14 05:30:00 UTC,2026-08-14 10:30:00 PKT,pk_hafizabad_pindi_bowra,Field_A_Basmati_Rice,0,4,32.088026,73.591216,60.0,2.1,0.789,0.4,29.29,5.3,0.784,0.005
6,2026-08-14 05:30:00 UTC,2026-08-14 10:30:00 PKT,pk_hafizabad_pindi_bowra,Field_A_Basmati_Rice,0,5,32.088026,73.591339,60.0,2.1,0.784,0.395,29.31,5.3,0.784,0.0
7,2026-08-14 05:30:00 UTC,2026-08-14 10:30:00 PKT,pk_hafizabad_pindi_bowra,Field_A_Basmati_Rice,0,6,32.088026,73.591461,60.0,2.1,0.779,0.39,29.33,5.3,0.784,-0.005
8,2026-08-14 05:30:00 UTC,2026-08-14 10:30:00 PKT,pk_hafizabad_pindi_bowra,Field_A_Basmati_Rice,0,7,32.088026,73.591584,60.0,2.1,0.775,0.385,29.34,5.3,0.784,-0.009
9,2026-08-14 05:30:00 UTC,2026-08-14 10:30:00 PKT,pk_hafizabad_pindi_bowra,Field_A_Basmati_Rice,0,8,32.088026,73.591707,60.0,2.1,0.772,0.38,29.36,5.3,0.784,-0.012
10,2026-08-14 05:30:00 UTC,2026-08-14 10:30:00 PKT,pk_hafizabad_pindi_bowra,Field_A_Basmati_Rice,0,9,32.088026,73.59183,60.0,2.1,0.77,0.375,29.37,5.3,0.784,-0.014
11,2026-08-14 05:30:00 UTC,2026-08-14 10:30:00 PKT,pk_hafizabad_pindi_bowra,Field_A_Basmati_Rice,0,10,32.088026,73.591952,60.0,2.1,0.77,0.37,29.37,5.3,0.784,-0.014
12,2026-08-14 05:30:00 UTC,2026-08-14 10:30:00 PKT,pk_hafizabad_pindi_bowra,Field_A_Basmati_Rice,0,11,32.088026,73.592075,60.0,2.1,0.772,0.365,29.36,5.3,0.784,-0.012
13,2026-08-14 05:30:00 UTC,2026-08-14 10:30:00 PKT,pk_hafizabad_pindi_bowra,Field_A_Basmati_Rice,1,0,32.08813,73.590725,60.0,2.1,0.81,0.43,29.2,5.8,0.784,0.026
14,2026-08-14 05:30:00 UTC,2026-08-14 10:30:00 PKT,pk_hafizabad_pindi_bowra,Field_A_Basmati_Rice,1,1,32.08813,73.590848,60.0,2.1,0.809,0.425,29.2,5.8,0.784,0.025
15,2026-08-14 05:30:00 UTC,2026-08-14 10:30:00 PKT,pk_hafizabad_pindi_bowra,Field_A_Basmati_Rice,1,2,32.08813,73.59097,60.0,2.1,0.806,0.42,29.21,5.8,0.784,0.022
16,2026-08-14 05:30:00 UTC,2026-08-14 10:30:00 PKT,pk_hafizabad_pindi_bowra,Field_A_Basmati_Rice,1,3,32.08813,73.591093,60.0,2.1,0.803,0.415,29.23,5.8,0.784,0.019
17,2026-08-14 05:30:00 UTC,2026-08-14 10:30:00 PKT,pk_hafizabad_pindi_bowra,Field_A_Basmati_Rice,1,4,32.08813,73.591216,60.0,2.1,0.798,0.41,29.25,5.8,0.784,0.014
18,2026-08-14 05:30:00 UTC,2026-08-14 10:30:00 PKT,pk_hafizabad_pindi_bowra,Field_A_Basmati_Rice,1,5,32.08813,73.591339,60.0,2.1,0.793,0.405,29.27,5.8,0.784,0.009
19,2026-08-14 05:30:00 UTC,2026-08-14 10:30:00 PKT,pk_hafizabad_pindi_bowra,Field_A_Basmati_Rice,1,6,32.08813,73.591461,60.0,2.1,0.788,0.4,29.29,5.8,0.784,0.004
20,2026-08-14 05:30:00 UTC,2026-08-14 10:30:00 PKT,pk_hafizabad_pindi_bowra,Field_A_Basmati_Rice,1,7,32.08813,73.591584,60.0,2.1,0.784,0.395,29.31,5.8,0.784,0.0
21,2026-08-14 05:30:00 UTC,2026-08-14 10:30:00 PKT,pk_hafizabad_pindi_bowra,Field_A_Basmati_Rice,1,8,32.08813,73.591707,60.0,2.1,0.781,0.39,29.32,5.8,0.784,-0.003
22,2026-08-14 05:30:00 UTC,2026-08-14 10:30:00 PKT,pk_hafizabad_pindi_bowra,Field_A_Basmati_Rice,1,9,32.08813,73.59183,60.0,2.1,0.78,0.385,29.32,5.8,0.784,-0.004
23,2026-08-14 05:30:00 UTC,2026-08-14 10:30:00 PKT,pk_hafizabad_pindi_bowra,Field_A_Basmati_Rice,1,10,32.08813,73.591952,60.0,2.1,0.78,0.38,29.32,5.8,0.784,-0.004
24,2026-08-14 05:30:00 UTC,2026-08-14 10:30:00 PKT,pk_hafizabad_pindi_bowra,Field_A_Basmati_Rice,1,11,32.08813,73.592075,60.0,2.1,0.782,0.375,29.32,5.8,0.784,-0.002
25,2026-08-14 05:30:00 UTC,2026-08-14 10:30:00 PKT,pk_hafizabad_pindi_bowra,Field_A_Basmati_Rice,2,0,32.088235,73.590725,60.0,2.1,0.817,0.44,29.17,6.2,0.784,0.033
26,2026-08-14 05:30:00 UTC,2026-08-14 10:30:00 PKT,pk_hafizabad_pindi_bowra,Field_A_Basmati_Rice,2,1,32.088235,73.590848,60.0,2.1,0.816,0.435,29.17,6.2,0.784,0.032
27,2026-08-14 05:30:00 UTC,2026-08-14 10:30:00 PKT,pk_hafizabad_pindi_bowra,Field_A_Basmati_Rice,2,2,32.088235,73.59097,60.0,2.1,0.814,0.43,29.18,6.2,0.784,0.03
28,2026-08-14 05:30:00 UTC,2026-08-14 10:30:00 PKT,pk_hafizabad_pindi_bowra,Field_A_Basmati_Rice,2,3,32.088235,73.591093,60.0,2.1,0.81,0.425,29.2,6.2,0.784,0.026
29,2026-08-14 05:30:00 UTC,2026-08-14 10:30:00 PKT,pk_hafizabad_pindi_bowra,Field_A_Basmati_Rice,2,4,32.088235,73.591216,60.0,2.1,0.805,0.42,29.22,6.2,0.784,0.021
30,2026-08-14 05:30:00 UTC,2026-08-14 10:30:00 PKT,pk_hafizabad_pindi_bowra,Field_A_Basmati_Rice,2,5,32.088235,73.591339,60.0,2.1,0.8,0.415,29.24,6.2,0.784,0.016
31,2026-08-14 05:30:00 UTC,2026-08-14 10:30:00 PKT,pk_hafizabad_pindi_bowra,Field_A_Basmati_Rice,2,6,32.088235,73.591461,60.0,2.1,0.796,0.41,29.26,6.2,0.784,0.012
32,2026-08-14 05:30:00 UTC,2026-08-14 10:30:00 PKT,pk_hafizabad_pindi_bowra,Field_A_Basmati_Rice,2,7,32.088235,73.591584,60.0,2.1,0.791,0.405,29.28,6.2,0.784,0.007
33,2026-08-14 05:30:00 UTC,2026-08-14 10:30:00 PKT,pk_hafizabad_pindi_bowra,Field_A_Basmati_Rice,2,8,32.088235,73.591707,60.0,2.1,0.788,0.4,29.29,6.2,0.784,0.004
34,2026-08-14 05:30:00 UTC,2026-08-14 10:30:00 PKT,pk_hafizabad_pindi_bowra,Field_A_Basmati_Rice,2,9,32.088235,73.59183,60.0,2.1,0.787,0.395,29.29,6.2,0.784,0.003
35,2026-08-14 05:30:00 UTC,2026-08-14 10:30:00 PKT,pk_hafizabad_pindi_bowra,Field_A_Basmati_Rice,2,10,32.088235,73.591952,60.0,2.1,0.787,0.39,29.29,6.2,0.784,0.003
36,2026-08-14 05:30:00 UTC,2026-08-14 10:30:00 PKT,pk_hafizabad_pindi_bowra,Field_A_Basmati_Rice,2,11,32.088235,73.592075,60.0,2.1,0.789,0.385,29.29,6.2,0.784,0.005
37,2026-08-14 05:30:00 UTC,2026-08-14 10:30:00 PKT,pk_hafizabad_pindi_bowra,Field_A_Basmati_Rice,3,0,32.088339,73.590725,60.0,2.1,0.82,0.45,29.16,6.8,0.784,0.036
38,2026-08-14 05:30:00 UTC,2026-08-14 10:30:00 PKT,pk_hafizabad_pindi_bowra,Field_A_Basmati_Rice,3,1,32.088339,73.590848,60.0,2.1,0.819,0.445,29.16,6.8,0.784,0.035
39,2026-08-14 05:30:00 UTC,2026-08-14 10:30:00 PKT,pk_hafizabad_pindi_bowra,Field_A_Basmati_Rice,3,2,32.088339,73.59097,60.0,2.1,0.817,0.44,29.17,6.8,0.784,0.033
40,2026-08-14 05:30:00 UTC,2026-08-14 10:30:00 PKT,pk_hafizabad_pindi_bowra,Field_A_Basmati_Rice,3,3,32.088339,73.591093,60.0,2.1,0.813,0.435,29.19,6.8,0.784,0.029
41,2026-08-14 05:30:00 UTC,2026-08-14 10:30:00 PKT,pk_hafizabad_pindi_bowra,Field_A_Basmati_Rice,3,4,32.088339,73.591216,60.0,2.1,0.808,0.43,29.21,6.8,0.784,0.024
42,2026-08-14 05:30:00 UTC,2026-08-14 10:30:00 PKT,pk_hafizabad_pindi_bowra,Field_A_Basmati_Rice,3,5,32.088339,73.591339,60.0,2.1,0.804,0.425,29.22,6.8,0.784,0.02
43,2026-08-14 05:30:00 UTC,2026-08-14 10:30:00 PKT,pk_hafizabad_pindi_bowra,Field_A_Basmati_Rice,3,6,32.088339,73.591461,60.0,2.1,0.799,0.42,29.24,6.8,0.784,0.015
44,2026-08-14 05:30:00 UTC,2026-08-14 10:30:00 PKT,pk_hafizabad_pindi_bowra,Field_A_Basmati_Rice,3,7,32.088339,73.591584,60.0,2.1,0.795,0.415,29.26,6.8,0.784,0.011
45,2026-08-14 05:30:00 UTC,2026-08-14 10:30:00 PKT,pk_hafizabad_pindi_bowra,Field_A_Basmati_Rice,3,8,32.088339,73.591707,60.0,2.1,0.792,0.41,29.27,6.8,0.784,0.008
