timestamp,crop_season,air_temp,humidity,solar_rad,precip,soil_temp,soil_moisture,ndvi,ETc,Dr,baseline_ch4_kg_hr,awd_mitigated_ch4_kg_hr,field_name
2019-01-01 00:00:00,Rabi Wheat,9.8,74,0,0.0,8.3,0.271,0.737,0.0,6.9,0.0,0.0,Pakistan Rice Hub (Pindi Bowra)
2019-01-01 01:00:00,Rabi Wheat,8.8,77,0,0.0,7.3,0.271,0.737,0.0,6.9,0.0,0.0,Pakistan Rice Hub (Pindi Bowra)
2019-01-01 02:00:00,Rabi Wheat,7.9,81,0,0.0,6.4,0.271,0.737,0.0,6.9,0.0,0.0,Pakistan Rice Hub (Pindi Bowra)
2019-01-01 03:00:00,Rabi Wheat,7.2,83,0,0.0,5.7,0.271,0.737,0.0,6.9,0.0,0.0,Pakistan Rice Hub (Pindi Bowra)
2019-01-01 04:00:00,Rabi Wheat,6.7,84,0,0.0,5.2,0.271,0.737,0.0,6.9,0.0,0.0,Pakistan Rice Hub (Pindi Bowra)
2019-01-01 05:00:00,Rabi Wheat,6.6,85,0,0.0,5.1,0.271,0.737,0.0,6.9,0.0,0.0,Pakistan Rice Hub (Pindi Bowra)
2019-01-01 06:00:00,Rabi Wheat,6.7,84,0,0.0,5.2,0.271,0.737,0.0,6.9,0.0,0.0,Pakistan Rice Hub (Pindi Bowra)
2019-01-01 07:00:00,Rabi Wheat,7.2,83,130,0.0,6.1,0.271,0.737,0.082,6.9,0.0,0.0,Pakistan Rice Hub (Pindi Bowra)
2019-01-01 08:00:00,Rabi Wheat,7.9,81,251,0.0,7.2,0.271,0.737,0.157,6.9,0.0,0.0,Pakistan Rice Hub (Pindi Bowra)
2019-01-01 09:00:00,Rabi Wheat,8.8,77,355,0.0,8.4,0.271,0.737,0.223,6.9,0.0,0.0,Pakistan Rice Hub (Pindi Bowra)
2019-01-01 10:00:00,Rabi Wheat,9.8,74,435,0.0,9.7,0.271,0.737,0.273,6.9,0.0,0.0,Pakistan Rice Hub (Pindi Bowra)
2019-01-01 11:00:00,Rabi Wheat,10.9,70,485,0.0,11.0,0.271,0.737,0.304,6.9,0.0,0.0,Pakistan Rice Hub (Pindi Bowra)
2019-01-01 12:00:00,Rabi Wheat,12.0,66,502,0.0,12.2,0.271,0.737,0.315,6.9,0.0,0.0,Pakistan Rice Hub (Pindi Bowra)
2019-01-01 13:00:00,Rabi Wheat,13.1,62,485,0.0,13.2,0.271,0.737,0.304,6.9,0.0,0.0,Pakistan Rice Hub (Pindi Bowra)
2019-01-01 14:00:00,Rabi Wheat,13.9,59,435,0.2,13.9,0.271,0.737,0.273,6.9,0.0,0.0,Pakistan Rice Hub (Pindi Bowra)
2019-01-01 15:00:00,Rabi Wheat,14.6,57,355,0.2,14.3,0.271,0.737,0.223,6.9,0.0,0.0,Pakistan Rice Hub (Pindi Bowra)
2019-01-01 16:00:00,Rabi Wheat,15.1,55,251,0.2,14.4,0.271,0.737,0.157,6.9,0.0,0.0,Pakistan Rice Hub (Pindi Bowra)
2019-01-01 17:00:00,Rabi Wheat,15.2,55,130,0.2,14.1,0.271,0.737,0.082,6.9,0.0,0.0,Pakistan Rice Hub (Pindi Bowra)
2019-01-01 18:00:00,Rabi Wheat,15.1,55,0,0.0,13.6,0.271,0.737,0.0,6.9,0.0,0.0,Pakistan Rice Hub (Pindi Bowra)
2019-01-01 19:00:00,Rabi Wheat,14.6,57,0,0.0,13.1,0.271,0.737,0.0,6.9,0.0,0.0,Pakistan Rice Hub (Pindi Bowra)
2019-01-01 20:00:00,Rabi Wheat,13.9,59,0,0.0,12.4,0.271,0.737,0.0,6.9,0.0,0.0,Pakistan Rice Hub (Pindi Bowra)
2019-01-01 21:00:00,Rabi Wheat,13.1,62,0,0.0,11.6,0.271,0.737,0.0,6.9,0.0,0.0,Pakistan Rice Hub (Pindi Bowra)
2019-01-01 22:00:00,Rabi Wheat,12.0,66,0,0.0,10.5,0.271,0.737,0.0,6.9,0.0,0.0,Pakistan Rice Hub (Pindi Bowra)
2019-01-01 23:00:00,Rabi Wheat,10.9,70,0,0.0,9.4,0.271,0.737,0.0,6.9,0.0,0.0,Pakistan Rice Hub (Pindi Bowra)
2019-01-02 00:00:00,Rabi Wheat,11.2,66,0,0.0,9.7,0.26,0.737,0.0,8.0,0.0,0.0,Pakistan Rice Hub (Pindi Bowra)
2019-01-02 01:00:00,Rabi Wheat,9.5,73,0,0.0,8.0,0.26,0.737,0.0,8.0,0.0,0.0,Pakistan Rice Hub (Pindi Bowra)
2019-01-02 02:00:00,Rabi Wheat,8.0,78,0,0.0,6.5,0.26,0.737,0.0,8.0,0.0,0.0,Pakistan Rice Hub (Pindi Bowra)
2019-01-02 03:00:00,Rabi Wheat,6.9,82,0,0.0,5.4,0.26,0.737,0.0,8.0,0.0,0.0,Pakistan Rice Hub (Pindi Bowra)
2019-01-02 04:00:00,Rabi Wheat,6.2,84,0,0.0,4.7,0.26,0.737,0.0,8.0,0.0,0.0,Pakistan Rice Hub (Pindi Bowra)
2019-01-02 05:00:00,Rabi Wheat,5.9,85,0,0.0,4.4,0.26,0.737,0.0,8.0,0.0,0.0,Pakistan Rice Hub (Pindi Bowra)
2019-01-02 06:00:00,Rabi Wheat,6.2,84,0,0.0,4.7,0.26,0.737,0.0,8.0,0.0,0.0,Pakistan Rice Hub (Pindi Bowra)
2019-01-02 07:00:00,Rabi Wheat,6.9,82,228,0.0,6.1,0.26,0.737,0.082,8.0,0.0,0.0,Pakistan Rice Hub (Pindi Bowra)
2019-01-02 08:00:00,Rabi Wheat,8.0,78,440,0.0,8.0,0.26,0.737,0.157,8.0,0.0,0.0,Pakistan Rice Hub (Pindi Bowra)
2019-01-02 09:00:00,Rabi Wheat,9.5,73,622,0.0,10.1,0.26,0.737,0.223,8.0,0.0,0.0,Pakistan Rice Hub (Pindi Bowra)
2019-01-02 10:00:00,Rabi Wheat,11.2,66,761,0.0,12.2,0.26,0.737,0.273,8.0,0.0,0.0,Pakistan Rice Hub (Pindi Bowra)
2019-01-02 11:00:00,Rabi Wheat,13.1,60,849,0.0,14.4,0.26,0.737,0.304,8.0,0.0,0.0,Pakistan Rice Hub (Pindi Bowra)
2019-01-02 12:00:00,Rabi Wheat,14.9,54,879,0.0,16.3,0.26,0.737,0.315,8.0,0.0,0.0,Pakistan Rice Hub (Pindi Bowra)
2019-01-02 13:00:00,Rabi Wheat,16.6,48,849,0.0,18.0,0.26,0.737,0.304,8.0,0.0,0.0,Pakistan Rice Hub (Pindi Bowra)
2019-01-02 14:00:00,Rabi Wheat,18.1,42,761,0.0,19.1,0.26,0.737,0.273,8.0,0.0,0.0,Pakistan Rice Hub (Pindi Bowra)
2019-01-02 15:00:00,Rabi Wheat,19.2,38,622,0.0,19.8,0.26,0.737,0.223,8.0,0.0,0.0,Pakistan Rice Hub (Pindi Bowra)
2019-01-02 16:00:00,Rabi Wheat,19.9,36,440,0.0,19.9,0.26,0.737,0.157,8.0,0.0,0.0,Pakistan Rice Hub (Pindi Bowra)
