timestamp,field_name,sector_row,sector_col,tropomi_xch4_ppb,tropomi_sif_flux,nisar_lband_hh_db,nisar_lband_hv_db,deep_root_sm_30cm,planetscope_ndvi_3m,planetscope_ndwi_3m,pblh_boundary_m,canopy_temp_depression,status
2026-08-02 14:00:00,Pindi_Bowra_4Acre_Basmati_Plot,9,4,1934.5,0.177,-12.26,-18.76,0.329,0.766,0.368,570.5,0.7,V2 Locked (Ready for Sept 1 Rollover)
2026-08-02 14:00:00,Pindi_Bowra_4Acre_Basmati_Plot,9,5,1934.2,0.176,-12.18,-18.68,0.331,0.777,0.373,570.5,0.7,V2 Locked (Ready for Sept 1 Rollover)
2026-08-02 14:00:00,Pindi_Bowra_4Acre_Basmati_Plot,9,6,1934.0,0.176,-12.11,-18.61,0.333,0.772,0.371,570.5,0.7,V2 Locked (Ready for Sept 1 Rollover)
2026-08-02 14:00:00,Pindi_Bowra_4Acre_Basmati_Plot,9,7,1933.9,0.176,-12.04,-18.54,0.335,0.752,0.361,570.5,0.7,V2 Locked (Ready for Sept 1 Rollover)
2026-08-02 14:00:00,Pindi_Bowra_4Acre_Basmati_Plot,9,8,1933.9,0.176,-11.99,-18.49,0.337,0.731,0.351,570.5,0.7,V2 Locked (Ready for Sept 1 Rollover)
2026-08-02 14:00:00,Pindi_Bowra_4Acre_Basmati_Plot,9,9,1933.9,0.176,-11.94,-18.44,0.339,0.728,0.349,570.5,0.7,V2 Locked (Ready for Sept 1 Rollover)
2026-08-02 14:00:00,Pindi_Bowra_4Acre_Basmati_Plot,9,10,1934.1,0.176,-11.88,-18.38,0.343,0.746,0.358,570.5,0.7,V2 Locked (Ready for Sept 1 Rollover)
2026-08-02 14:00:00,Pindi_Bowra_4Acre_Basmati_Plot,9,11,1934.3,0.177,-11.86,-18.36,0.345,0.774,0.371,570.5,0.7,V2 Locked (Ready for Sept 1 Rollover)
2026-08-02 14:00:00,Pindi_Bowra_4Acre_Basmati_Plot,10,0,1934.8,0.178,-12.43,-18.93,0.323,0.755,0.362,570.5,0.7,V2 Locked (Ready for Sept 1 Rollover)
2026-08-02 14:00:00,Pindi_Bowra_4Acre_Basmati_Plot,10,1,1934.8,0.178,-12.38,-18.88,0.325,0.761,0.365,570.5,0.7,V2 Locked (Ready for Sept 1 Rollover)
2026-08-02 14:00:00,Pindi_Bowra_4Acre_Basmati_Plot,10,2,1934.6,0.177,-12.31,-18.81,0.327,0.776,0.373,570.5,0.7,V2 Locked (Ready for Sept 1 Rollover)
2026-08-02 14:00:00,Pindi_Bowra_4Acre_Basmati_Plot,10,3,1934.4,0.177,-12.23,-18.73,0.33,0.786,0.377,570.5,0.7,V2 Locked (Ready for Sept 1 Rollover)
2026-08-02 14:00:00,Pindi_Bowra_4Acre_Basmati_Plot,10,4,1934.2,0.176,-12.15,-18.65,0.332,0.775,0.372,570.5,0.7,V2 Locked (Ready for Sept 1 Rollover)
2026-08-02 14:00:00,Pindi_Bowra_4Acre_Basmati_Plot,10,5,1933.9,0.176,-12.07,-18.57,0.334,0.748,0.36,570.5,0.7,V2 Locked (Ready for Sept 1 Rollover)
2026-08-02 14:00:00,Pindi_Bowra_4Acre_Basmati_Plot,10,6,1933.7,0.175,-12.0,-18.5,0.336,0.724,0.348,570.5,0.7,V2 Locked (Ready for Sept 1 Rollover)
2026-08-02 14:00:00,Pindi_Bowra_4Acre_Basmati_Plot,10,7,1933.6,0.175,-11.93,-18.43,0.339,0.718,0.344,570.5,0.7,V2 Locked (Ready for Sept 1 Rollover)
2026-08-02 14:00:00,Pindi_Bowra_4Acre_Basmati_Plot,10,8,1933.5,0.175,-11.84,-18.34,0.342,0.734,0.352,570.5,0.7,V2 Locked (Ready for Sept 1 Rollover)
