timestamp,field_name,sector_row,sector_col,tropomi_xch4_ppb,tropomi_sif_flux,nisar_lband_hh_db,nisar_lband_hv_db,deep_root_sm_30cm,planetscope_ndvi_3m,planetscope_ndwi_3m,pblh_boundary_m,canopy_temp_depression,status
2026-08-08 22:00:00,USA Field 2 (Alfalfa Hay),6,1,1914.2,0.096,-18.29,-24.79,0.08,0.08,-0.139,465.5,-0.4,V2 Locked (Ready for Sept 1 Rollover)
2026-08-08 22:00:00,USA Field 2 (Alfalfa Hay),6,5,1914.2,0.096,-18.42,-24.92,0.08,0.285,-0.333,465.5,-0.4,V2 Locked (Ready for Sept 1 Rollover)
2026-08-08 22:00:00,USA Field 2 (Alfalfa Hay),7,1,1914.2,0.096,-18.3,-24.8,0.08,0.08,-0.169,465.5,-0.4,V2 Locked (Ready for Sept 1 Rollover)
2026-08-08 22:00:00,USA Field 2 (Alfalfa Hay),7,5,1914.2,0.096,-18.4,-24.9,0.08,0.255,-0.318,465.5,-0.4,V2 Locked (Ready for Sept 1 Rollover)
2026-08-08 22:00:00,USA Field 2 (Alfalfa Hay),0,1,1914.2,0.096,-18.56,-25.06,0.08,0.522,-0.4,465.5,-0.4,V2 Locked (Ready for Sept 1 Rollover)
2026-08-08 22:00:00,USA Field 2 (Alfalfa Hay),0,5,1914.2,0.096,-18.47,-24.97,0.08,0.364,-0.378,465.5,-0.4,V2 Locked (Ready for Sept 1 Rollover)
2026-08-08 22:00:00,USA Field 2 (Alfalfa Hay),1,1,1914.2,0.096,-18.56,-25.06,0.08,0.488,-0.4,465.5,-0.4,V2 Locked (Ready for Sept 1 Rollover)
2026-08-08 22:00:00,USA Field 2 (Alfalfa Hay),1,5,1914.2,0.096,-18.53,-25.03,0.08,0.465,-0.4,465.5,-0.4,V2 Locked (Ready for Sept 1 Rollover)
2026-08-08 22:00:00,USA Field 2 (Alfalfa Hay),2,1,1914.2,0.096,-18.45,-24.95,0.08,0.333,-0.363,465.5,-0.4,V2 Locked (Ready for Sept 1 Rollover)
2026-08-08 22:00:00,USA Field 2 (Alfalfa Hay),2,5,1914.2,0.096,-18.44,-24.94,0.08,0.288,-0.351,465.5,-0.4,V2 Locked (Ready for Sept 1 Rollover)
2026-08-08 22:00:00,USA Field 2 (Alfalfa Hay),3,1,1914.2,0.096,-18.33,-24.83,0.08,0.137,-0.207,465.5,-0.4,V2 Locked (Ready for Sept 1 Rollover)
